Date,Sales Per Day
Jan-14,20
Feb-14,30
Mar-14,60
Apr-14,40
May-14,60
Jun-14,90
Jul-14,70
Aug-14,100
Sep-14,110
Oct-14,120
Nov-14,140
Dec-14,180
Jan-15,100
Feb-15,30
Mar-15,40
Apr-15,40
May-15,100
Jun-15,250
Jul-15,370
Aug-15,490
Sep-15,610
Oct-15,600
Nov-15,800
Dec-15,1050
Jan-16,1090
Feb-16,1710
Mar-16,1650
Apr-16,1330
May-16,900
Jun-16,730
Jul-16,460
Aug-16,610
Sep-16,710
Oct-16,710
Nov-16,760
Dec-16,830
Jan-17,1130
Feb-17,1400
Mar-17,1740
Apr-17,2020
May-17,1540
Jun-17,1230
Jul-17,1210
Aug-17,1270
Sep-17,1360
Oct-17,1410
Nov-17,1420
Dec-17,1420
Jan-18,1780
Feb-18,2220
Mar-18,2460
Apr-18,2320
May-18,1900
Jun-18,1760
Jul-18,1740
Aug-18,1700
Sep-18,1720
Oct-18,1690
Nov-18,1910
Dec-18,2090
Jan-19,2340
Feb-19,2510
Mar-19,2770
Apr-19,2640
May-19,2570
Jun-19,2340
Jul-19,1870
Aug-19,1990
Sep-19,1980
Oct-19,2020
Nov-19,2060
Dec-19,2030
Jan-20,2280
Feb-20,2320
Mar-20,2170
Apr-20,4930
May-20,3330
Jun-20,3300
Jul-20,3090
Aug-20,2670
Sep-20,3170
Oct-20,3480
Nov-20,3700
